Epoch,Training Loss,Training Accuracy,Test Loss,Test Accuracy
0,2.274094131376587,23.10323835859347,1.501845182514116,43.7927809043108
1,1.427215566544855,47.525459970259185,1.290867950940064,53.83801535189243
2,1.0941578715411064,60.88984501297843,1.05351265420105,62.64063068128407
3,0.9001482847207647,68.05794730050732,0.902294632331396,68.21679559626638
4,0.7711933892966399,73.01590015219193,0.7881341263830045,73.79574551167002
5,0.6753674342053895,76.49727608290972,0.7752774188349594,74.67482472409029
6,0.6005555035312432,79.14915814649383,0.6744348737229424,77.44382932160974
7,0.5554216688938624,80.61093205094932,0.6732362653435301,78.51929092609727
8,0.5186075123246253,82.24960866971954,0.5516889891803755,81.24305691209022
9,0.4918583057222956,83.26418747433665,0.6234050751516945,79.42508602024462
10,0.4819783049017646,83.33910215793455,0.6898214385843463,77.5892917922012
11,0.45887697245207304,84.30035288364019,0.6168919530559557,79.31768769310129
12,0.4430929649744002,84.93784050096467,0.633729504770488,79.01335459938
13,0.4320222251969,85.2346882513512,0.7183972905508054,76.62594772840959
14,0.4291713818988466,85.48987820806927,1.1784610753094071,66.62020796958745
15,0.4144690127056435,85.89145924551096,0.6298439508619077,79.89098584857108
16,0.40169853606525807,86.24706684384692,0.579674308838332,81.02225994867823
17,0.40004031835399984,86.26482617336335,0.7416828494319213,77.2912695793338
18,0.4021945623579241,86.18654861841729,0.6011347493717447,81.51626951730726
19,0.38690462148031207,86.85960408943518,0.4525483940187872,84.91637845534662
20,0.3810994373873026,86.9857005274713,0.5436653752251829,82.2220036315847
21,0.37814908114437873,87.06347889227358,0.48534528235234,83.9474620560622
22,0.3752385185440829,87.29303136360761,0.5959466560563068,80.47687941661202
23,0.35025200033649806,88.19201803858444,0.48358983761262325,83.29456181161653
24,0.36435317520285015,87.52711831153451,0.5038222394220578,82.51306911336113
25,0.3579871363123556,87.90090065849111,0.759468420499297,77.15305909011917
26,0.35710773921669253,87.9567593397437,0.6920076426449611,78.63366446038421
27,0.36657228851929285,87.54829967222655,0.49010489696267645,83.92535783045949
28,0.3554511452778882,87.89007456449869,0.49204937913633984,83.99458833424178
29,0.35021019725956476,88.09052126383833,0.7011862577997096,79.42638999271186
30,0.3457933202224332,88.20800652745234,0.583678158537837,81.30762297908007
31,0.35373452808663686,87.9631091858873,0.5905926205595002,80.3432121063687
32,0.3465119259957245,88.46232723098498,0.5429694483970849,81.87124737041496
33,0.3323957261997036,88.75287847354566,0.5784504997019957,82.12357768235694
34,0.3463497469681175,87.97973227613963,0.486433827274203,83.72686385444781
35,0.33256620992236535,88.80132967787159,0.6303163316497407,80.02491860147512
36,0.3315236484689257,88.82146926949103,0.6573418805727367,79.72341274475397
37,0.3293262307896539,88.92579339779616,0.787319956250548,77.06872653965416
38,0.32616473915993316,88.88147404215411,0.4226338182030927,85.49768596228796
39,0.3299141413346058,88.82048889058137,0.456097886976768,84.67925495684138
40,0.33567772672623863,88.77284341306547,0.5871014732153715,81.60348392188065
41,0.3334527556123969,88.57750236884489,0.512206729835223,84.17955592925482
42,0.32656153015062167,88.80206174935284,0.47695915851780263,83.85054075017077
43,0.3187407245711161,89.37594775750696,0.4468542646586953,85.77652773319979
44,0.31642101299569014,89.08987581647823,0.5024315368633705,83.62476971322663
45,0.3224242293821247,88.65737811616627,0.37898747414891126,87.6442492830266
46,0.3118125063802047,89.33672770767356,0.579071578879112,81.13023083344791
47,0.32433778958163567,88.93282113857407,0.4374682560651327,85.52357785157852
48,0.3231169779890955,88.98048908595452,0.5443258383634741,82.51624920152948
49,0.324153466574737,89.20271605394716,0.4187174288551842,85.46495715890828
50,0.3207717470135708,88.93885215892216,0.556321563380455,82.06056581333013
51,0.32739540069447326,88.83359068477179,0.4867091604082399,84.08910285819827
52,0.318153568549875,89.05488698469733,0.38658531634185617,86.98479977654713
53,0.3170146561031705,89.11561838176439,0.6583604977708737,79.24274185328807
54,0.3254618789694122,88.74766693369718,0.5313029027333394,82.9952654763063
55,0.32427443778342097,88.87877348963067,0.5156253948382424,83.4899082245988
56,0.3200926900822597,89.04033009721795,0.5434490000539764,81.88451788810295
57,0.3123464835851391,89.19782643495851,0.4622067403036762,84.85974698029672
58,0.3091496052294085,89.48309013097564,0.7202400139446908,77.94856921243085
59,0.32664463350809153,88.79320436515415,0.5798291837816483,80.47840701885255
60,0.3102404427297246,89.36304151094565,0.46156481259124615,84.46188599807002
61,0.30823510467544346,89.73164572651473,0.5572386949842989,82.23193759642463
62,0.3152117346643482,89.38209101581575,0.4741235885337362,83.85500450832905
63,0.3065687375220159,89.47509969309367,0.46571570027909437,84.48190713013773
64,0.31421089474801744,89.36715939951446,0.42726106412239795,86.26054855120049
65,0.31342183106827665,89.17778163715259,0.7691134641763459,76.88412646979613
66,0.3181204818268118,89.09050643477862,0.4517079725881971,85.15527524569006
67,0.3154694616927942,89.35199187203592,0.5082739341785358,83.74422398633226
68,0.3080747037835023,89.5484732804285,0.4705446537441841,84.86568912177773
69,0.31018583866860544,89.64107814969454,0.47423024906901745,84.25163621602798
70,0.3152488647896275,89.47813139126015,0.4429644622430857,85.21383489109594
71,0.31678921747711997,89.23542722020802,0.5226602757368103,83.30433645126199
72,0.31914649154731217,89.12476660621437,0.6534889587690873,79.23511479781652
73,0.3056383460238516,89.60290933147566,0.4233031229440197,85.38514342807163
74,0.30619278468478167,89.65681712728112,0.49724786612583505,83.8417380239485
75,0.30535877632869873,89.56365544275585,0.5264814827493531,81.84939609385904
76,0.3068103862880329,89.35287043103095,0.568988664952602,81.50028496633063
77,0.3130333817597313,89.22533747275426,0.5170245741957865,82.58729909341042
78,0.30768766822963434,89.5478593127074,0.5424062894728512,82.8924999375448
79,0.3050059310001211,89.69080151667605,0.4806115497817584,83.71957409304315
