Epoch,Training Loss,Training Accuracy,Test Loss,Test Accuracy
0,3.2376895269342003,11.5247494443071,1.9461471418028637,23.566403709992287
1,1.8404810008543542,29.51248660837308,1.5735346550447304,42.347297077793144
2,1.4329627497146324,47.676503073187206,1.3954331501840473,49.93355639777074
3,1.1559105394436324,58.84449511885748,1.5351447990284215,53.38572780529357
4,0.9732832993626495,65.88327590890908,1.0465684242098054,64.08623318884862
5,0.8782694051434173,69.23963652763045,1.0619377495903688,63.66406188494811
6,0.83248449283131,71.10752621697044,0.929465730810588,67.9466904583751
7,0.8018742322234385,72.42985282372985,1.0709758048470972,64.67772905137927
8,0.768629499000976,73.6265323430985,1.2471173640352045,57.86472122966747
9,0.7608651087633121,73.95304100137182,1.4440235003762816,58.28333939510088
10,0.7443853053468082,74.3705298733083,0.9763054355358204,68.72933143221664
11,0.7379693727970444,74.86804631988642,1.114119070229391,63.171356722712034
12,0.7348314855029253,75.02445041925652,1.0529350099749235,65.10101444186449
13,0.729025035829221,75.1965984428438,0.8692821300094434,71.48898303628876
14,0.7252686014581005,75.10963874385396,1.0230384826778895,64.99781083762782
15,0.7049104280057849,75.76585822719898,1.2016245533219128,63.47561376808797
16,0.7227901568891931,75.31134065574004,1.2803999136202266,62.97551402917613
17,0.7047498227878958,75.76415492909187,1.1727388491209232,63.02446040638171
18,0.7102592605153569,75.59979541920386,1.0760685103636671,64.83717092974847
19,0.7007271517494056,75.86616624923646,0.9271116611780225,68.37456682576725
20,0.7238402858201193,75.42170867423414,1.6283121096521007,55.19080016287012
21,0.7201419644976099,75.47852049134583,1.2074244164815646,61.129144202173364
22,0.7068823894669677,75.63009065410965,1.4380304595498195,56.76045136319766
23,0.7076121373638351,75.44545890237802,1.0768986373240725,65.84907896455003
24,0.7077022466034124,75.66408237897261,1.576088386971741,57.25351557888941
25,0.6907605754334639,76.32413281120924,1.8085060389399472,52.313201492239706
26,0.6968599314198788,76.06299897206668,1.518123100049086,57.06886396605997
27,0.700193639866904,76.4363863578218,0.9484544202582517,66.93389789052969
28,0.6943532288405225,76.18488609210867,0.8699106403314056,71.27401913384078
29,0.6815199366524057,76.5134621523917,0.829146335274312,72.58338735663682
30,0.6861399406663533,76.66792220137287,1.0476582541517343,66.15908235139183
31,0.69279642517838,76.14500856928876,0.8652645694633847,69.88031837614282
32,0.6997713006048116,75.93298030963871,1.3297614155909867,60.5282866870209
33,0.6956084151574196,76.0966620909483,1.026191216325338,67.44349741715577
34,0.6991672910136701,75.89954281136038,0.949351837564099,68.30082526009427
35,0.6852367385532949,76.46163002276576,1.27681531223586,60.988252550876766
36,0.6872090355227453,76.50161713254343,1.245101408044479,63.855540833076894
37,0.6773884180240995,76.92562158472504,4.449326124250093,33.0682564135569
38,0.6908451898969528,76.43472579397647,1.1946185749691693,63.14266409314496
39,0.6885589890456028,76.32215675074524,1.3869606080509989,60.85947581597185
